text,sentiment,source
@nikicheong plan on goin but looking for company...  wonder anyone interested???,negative,twitter
"@utjenn   Lol, @rustyrockets doesn't live in the States.      He's doing a movie and some interviews.  I think?",positive,twitter
"Having endured this inaccurate movie I will admit that it is a more modern telling of the story than previous versions. Yet, it is so inaccurate and has has been made so politically correct that it made me mad after watching it. Davy Crockett was very poorly represented by Billy Bob, who I thought would have probably been better cast as Sam Houston given both men's love of oratory. I think self-absorbed Dennis Quaid(an actual Texan) would have been a perfect Crockett and it would have definitely fed into his starved sense of self-worship. As a Texan and a true believer in the Texas mindset I feel Davy Crockett was the quintessential Texan even though not born here. Our unofficial motto is ""It ain't braggin' if it is a fact"" was made for Crockett. And that last scene at the Alamo where Crockett is the last survivor has to be the biggest insult to Davy Crockett ever made. To even suggest that this giant of a man and seasoned fighter would allow himself to be taken alive is ridiculous. Three different eye witness accounts place him dead amid the bodies of a dozen or more dead Mexican soldiers after undoubtedly fierce hand to hand combat. Finally, that lame ending to the movie supposedly depicting the battle of San Jacinto as a mutual battle of 600 Texicans vs 700 Mexican Soldiers when there was actually closer to 1,500 well trained Mexican regulars. Every Texas school kid who pays attention in their first Texas history class knows the battle took the Mexican Army by surprise during siesta time and the Mexican army was so confused they could not form ranks and fled as they were not trained to fight frontier style hand to hand.",negative,imdb
Waaaaah. I hate having to be stuck at home because there's nothing going on. I hate Jersey....sometimes. Mostly when it rains. ,negative,twitter
@kjannfischer hate that i missed out last nite ,negative,twitter
@kienfei not bad had it in Halim but just not pedas enuff .. ,negative,twitter
@twinfraser I'll watch them as soon as I get home! Are the on youtube? ,positive,twitter
"@HausProjects haha - &quot;Horsey, keep your tail up&quot; is my favourite ",positive,twitter
"Claire Denis' debut is both a brave and self-assured one. In this depiction of life towards the end of French colonialist Cameroon, she explores the relationships between men and women, black and white.<br /><br />With the black servant 'Protée' as the film's primary object of desire and oppression, the film enters taboo territory from the beginning. Denis builds a picture of life through a series of character relationships that keep the informed viewer fixed to the screen. The mood of the film is captured perfectly by the camera-work and (lack of) lighting.<br /><br />A great discourse.",positive,imdb
@trvsbrkr thats some radical partyin...i guess us southcarolinians r just party poopers ,negative,twitter
"AHHHHHHHHH I can still do Math that I did a year ago, having a good memory rocks  (But having to go back and correct spelling doesn't  )",negative,twitter
learned most of a song on the guitar haha  I feel semi- accomplished.   time to watch Sopranos and eat lefover pasta   mmmmmmmmm ,positive,twitter
@purple_dots what! Why Is he going? ,negative,twitter
"waiting for @evdmaas to arrive. Well, I'll just finish my orange juice then.  AH to go rocks.",positive,twitter
@taylorswift13 does the show ever air again? the red wings game is on so it's not on in the eastern states ,negative,twitter
IM READY FOR MORE FOLLOWERS!!  Why I dont get Follow Friday shout outs ..,negative,twitter
"Good morning, Twitters!!! Good morning, Monday!! ",positive,twitter
@johnbarton and then comes incontinence #3... at the rate you're aging maybe tomorrow ,positive,twitter
Only 10 short days until @emmysays and I embark on a 10 hour roadtrip and see wonderful people like @mariaklz and @mariescarsella  ,positive,twitter
@Jonasbrothers i'll  be there! ,positive,twitter
is missing some1   love u xxxxx,negative,twitter
@papercups Go son! Go!  Is that Neverland fic? &lt;3333 x 10,positive,twitter
@timetruthhearts awwwww ,negative,twitter
"@martinjon putting together mural squares with http://Artreachatlillstreet.org not painting per se, but wear grubbies, promises to be ",positive,twitter
@Asulatina21 Cher! Of COURSE we have cute puppies ,positive,twitter
Just went Swimming. Sunburn ,negative,twitter
Left my umbrella on the bus this morning   Off to a good start today.,negative,twitter
breayd is scratching his back  x,positive,twitter
schools back tomorrow..  watching rove.. night  xoxo,negative,twitter
"I am so tired, stayed up too late last night, Keltie and Mariah are still sleepiong, i want them to wake up niow though   ",negative,twitter
just got bak from my cousin's house! i mite go with them in Anahiem i think or somewhere there! so i mite not tweet 2morrow! ,negative,twitter
on my way to school.. ugh!!	this is total bullshit.. I hate summer school.. ,negative,twitter
@annamarie1723 I am lost. Please help me find a good home. ,negative,twitter
@andrewghayes They certainly are! Good to hear A YP's view of the world from time to time. Refreshing perspective ,positive,twitter
@_luulis yaay you gave in ,positive,twitter
Talking on msn to @fallenstar_ about next time McFly come to Aus... we have awesome plans! ,positive,twitter
my throat is sore again/still. Swallowing feels like having a fishbone stuck halfway down. This...makes getting to sleep kinda awkward ,negative,twitter
"i wont c my dad this fathers day,i miss him  ",negative,twitter
"@twsuccess Thank you, will check that out ",positive,twitter
Ardillas al bosque ,negative,twitter
You iPhone people should get LOOPT too ,positive,twitter
@jadennation's show was amazing like always! Stayed up for him - he better be happy! Night all  x,positive,twitter
Trying hard not to fall sleep? Fuck idk.. Whatev  you get the point,positive,twitter
"@ricardoseola que tri!! english speaking peeps, this site is also awesome http://posterize.com.br ",positive,twitter
 Radio Disney isn't playing anything here! WTF??,negative,twitter
"@Bisping Keep up the good work, been watching the Ultimate Fighter every week. Team Uk is going to win ",positive,twitter
Slightly drunk  oh dear,negative,twitter
@tk210 sorry to here that ,negative,twitter
@farebad  Mine either. And I think I love him. How pathetic.,negative,twitter
"at work, sun is shining ",negative,twitter
Is working on his animation for his poem ,positive,twitter
"Is eating dinner! Portabello parmesean stuffed chkn and fresh corn on the cob from fresh market. And my sweetleaf tea, mmm ",positive,twitter
"@MissCaseyB Why, what did someone say?? ",negative,twitter
"&quot;LINES, VINES AND TRYING TIMES&quot;  Tomorrow!!*  ",positive,twitter
"@LifelessOne We opted for Outback Steakhouse.  I'm paying for it, hehehe.",positive,twitter
I've never tried tweeting video clips---let me know if it works. ,positive,twitter
@viktorja mine hurt yesterday and I hate the feeling so much ,negative,twitter
Time to get back to work ,negative,twitter
"This is my Birdhouse. There are many like it, but this one is mine.    Fuck. I forgot to export my birdhouse when migrating touch to 3GS ",negative,twitter
@lovelybella73 Have a blessed day!!! I'm moving slow too...but gotta get up for the Lord ,positive,twitter
I craved for sakae NOW! ,negative,twitter
omg! so sore  walked from balboa park to downtown and BACK!,negative,twitter
Finishing up a quick break-a-roo  Hyper from cold meds -  - Means no decent sleep tonight as it is bed-time now!  LOL!,positive,twitter
"@pressdarling Thank you! I am a proud, proud new parent ",positive,twitter
@notsooglam yeah i kinda saw that....tweeted 2 soon ,negative,twitter
"Had an awesome day! Went to Nashville Shores with Kristen, Sula, Jessica, Sonya, and Haley  Besties! me and Kristen had a sleepover! haha",positive,twitter
mary hates me again  i wana walmart it butno one wants to go,negative,twitter
my space key just jammed but dont worry i fixed it haha listening to some panic ,positive,twitter
sleeeeeeeeeeeepy. tweet yous in the morning ,positive,twitter
"@nsane8 I'm sure you've mastered several departments. (via @Azlen) =&gt; name it, i got it!!  (via @nsane8)She is the Joan of all trades LOL",positive,twitter
I don't know what to do with people who interpret my sense of responsibility as being shilly-shally. They just don't understand. ,negative,twitter
@albertoyong I wonder how bad the commute is from NYC...    I miss you!!!,negative,twitter
@kilianvalkhof I read sass differently and was epically disappointed when the site had no sarcasm at all but just geek coding stuff ,negative,twitter
Thanks everyone for recommending Ikea!  Ordering right now ,positive,twitter
I want to go out and jog right now but my parents would tell me it's too late  HOLY CRAP I MISS MY BABY WAAAAAAAAAAAAAAY TOO MUCH..,negative,twitter
i'm so grumpy today...dunno why ,negative,twitter
"@britneyjonas Thank you! It's still a work in progress, haha. Next on the list is affies. ",positive,twitter
"Swaggering on the promise of life, today.  ",positive,twitter
@nicksantino thats my ringtone ,positive,twitter
O My Lord! I think the Capoeira community will hate me after Friday.  Sapian sana ako ni Christie Monteiro or Eddy Gordo!!!!!,negative,twitter
@doc18 thats how i was with the GMSF. :B is Touma the blue GID dog? ,positive,twitter
is sleeping over at beths house tonight with the girls  and watching the Hannah Montana Movie tomorrow! can't wait!! xxx,positive,twitter
@tommcfly EGG records is funny. But I think super records is a really cool name. I'm glad you quit cuz your music is a lot better. ,positive,twitter
@NadiaLee Same here! Twittering is just so much more easier than blogging. ,positive,twitter
@mom_07 I can see you ,positive,twitter
@RyanBlancas you're just jealous ahhaha I'm still tiny  I need to gain weight. I'm trying to gain weight.,negative,twitter
#Hubble EVA-5: NasaTV beautiful images are worth for Festival de Cannes and win the palm  ,positive,twitter
if only I could fast forward a few years to when I'm already a special ed teacher. ,positive,twitter
http://twitpic.com/4x8sq - HAHAHAHA ooh Mom so glad your fashion has changed  Dont love you any less tho....,positive,twitter
"I need to find more constructive ways to spend my summer, other than watching One Tree Hill obsessively. I'm going to go change. ",negative,twitter
@NAMdrewski word? Def look out for me &amp; @tinful in the crowd again ,positive,twitter
@NatalieGolding its so cold here  i think its going to thunder again! *runs into her bed and sings my favorite things* and me to!  x,negative,twitter
(@kirstin_ann) rick from ice road truckers should shut the hell up... fckin whiner.  still sick.  ,negative,twitter
"My contact lens are starting to bug me again. Ugh, talk about de ja vu. ",negative,twitter
Manic rain on motorway! Think it scared my boyf half to death while driving! ,positive,twitter
"When I was over at Hollywood video I looked through their clearance out movies and there was DEMONICUS for five buckaroos plus fifty percent off! I saw it only once before and couldn't pass up this great deal! The second viewing was much better than the first. The box is so cool and the music is very good. If you haven't seen Demonicus yet I recommend that you do or if you rented and hated Demonicus do give it another chance as another viewing of it may change your mind. If you seen a copy at Hollywood Video for the price I got it for don't pass it up as it is a great deal!<br /><br />Demonicus is well a very different but entertaining movie.Believe it or not is like watching a interactive video game with out playing it!It has very low budget and actors I'M sure that nobody is familiar with. We began the the video game uh I mean film with a guy and a woman some where in Italy and there is a cave that actually looks like a rail road/train track tunnel and she says don't go in there and what does he do?The normal stuff!HE DIDN'T LISTEN TO HER! He goes in there and find lots of gladiator artifacts and armor and a almost perfectly preserved body of a legendary gladiator named Tyrannous!Where did the chair come from that Tyrannous was sitting on and how did his body stay so good and where did the Cauldron Pot come from?So every cave is complete with a Caultron Pot?Tyrannous is wearing his armor,helmet,and has a weapon or two.He does the dumbest thing a person could do,he puts on the helmet and is taken over by the spirit of Tyrannous! From there he walks around just killing all of the campers near by to bring back the real Tyrannous.<br /><br />Now,I said before its like a video game.Its hard to explain but it just feels like it.The music even sounds like video games.The acting is really terrible.The actors say things like why is he doing this,oh he was nuts already and Fine since he's nuts i'm going home!Also the movie also has some major errors like a guy is running and trying to find his girlfriend in the night and is still running in the day time still searching for her with out taking a break!<br /><br />This movie has some errors but it isn't a classic like Werewolf but it is entertaining if you like really low budget error prone movies then you better see Demonicus!",positive,imdb
Am figuring out no one's reading my tweets....  ,negative,twitter
good morning tweeps ,positive,twitter
Oh great! iPhone Update complete but now I can't connect to iTunes to activate it  Unknown Error. #iPhone,negative,twitter
i have left too many NEEEKY tweets to celebs. yet no replies  . least it made ellie laugh aye.,negative,twitter
is enjoyin weeworld ,positive,twitter
is having a lazy Sunday ,positive,twitter
Working late at camp ,negative,twitter
#ohac track 2 Tirthankar says you should participate in OHAC for the &quot;bragging rights&quot; ,positive,twitter
She almost tripped over a caution sign in aisle 7. My hopes of sending her to an early grave were dashed all too soon. ,negative,twitter
"http://twitpic.com/696ok - he was one ugly shit, but i truly am sad to see him go ",negative,twitter
Well i'm off to bed.  Get rested up so that you can cheer the Penguins on tomorrow as they prepare to spank the Flyers again!   GO PENS!,positive,twitter
Drivin around lookin for somethin to eat...  but nothins open! ,negative,twitter
14 daaaaaaayyyyyyyyysssssssssssss  cant wait,positive,twitter
i need to revise seriously. not done much over the weekend. i knew going away would be a mistake ,negative,twitter
http://twitpic.com/61yot - Good Morning 2 All my Followers thanx 4 following!  Here's a Pic 4 yall..Enjoy,positive,twitter
@eunice007 that's just the matrix letting you know it exists ,positive,twitter
Wee !! had Strawberry Sundae from macs !! ,positive,twitter
@Kendall_Jones yeah and i have missed yU ...thought yU were mad at me ...i love that young la song ,positive,twitter
"RE: LMAO  i want a montage of the pack's stares!  and i want it now, damn it! http://disq.us/h4r",negative,twitter
Hope I get a better sleep tonight silly morons doing skids out front last night ,negative,twitter
@angeluserro lol yeah i will be ok. I think my dog just scratched my eye. Like my actual eye ball. Everything is blurry in my right eye ,negative,twitter
"@brennysue hahahaha, well that was nice of him. You will be missed though  I knew it really wasn't to see me.",negative,twitter
"@HeathCastor oh wow, hottie fo sho ",positive,twitter
@Miss_Higgs Get well Soon...... I can smell the Vicks in North London..... ,positive,twitter
@new_age_info Get 100 followers a day using www.tweeterfollow.com Once you add everyone you are on the train or pay vip ,positive,twitter
YES WE CAN!!!!! Good luck  @reallamarodom @derekfisher @sashavujacic @lakers,positive,twitter
i cant believe McFly played with JB last night and i missed it  my 2 fav bands preforming 2gether ,negative,twitter
Thanks everyone who got back to me about the camera ,positive,twitter
"@reeeeba awww, really? ",positive,twitter
yay its been a great morning already. feeling really motivated ,positive,twitter
@davidleibrandt that's because u are! ,positive,twitter
Ewwwww - @adamgehrke just mentioned an unintentional workout....I should go 2 the gym 2day since I skipped it yesterday ,negative,twitter
@kumar I waved to you!  I'm sorry the closed on you!   See you next time soon! ,positive,twitter
@ayubella so what your doing now?? ,positive,twitter
Argh! Thrown up before and after each act then my music didn't work waaa!! Sorry ,negative,twitter
"@cwebster68 Ohno.  Without a postal # I'm not sure what you can do. Personally, I'd refund and tell them to shop elsewhere in future kthx.",negative,twitter
About to finish my breakfast. Running out of Ridge Top Roast from tribal grounds  I hope that today isn't as hot and the wind keeps down,negative,twitter
calling to see if i can change my flight. i'm bored ,negative,twitter
"@tommcfly dont worry tom, you will be back winning sooon, i am like voting for you like every 20 mins  xx",positive,twitter
"On my way to find clinic to cut the bullet. Ew, pain pain. ",negative,twitter
Snickers has an ice cream bar now?! That's just wrong...and it looks so good lol :p ,negative,twitter
@mariapaulaa: Don't forget to come back on time! ,positive,twitter
" Of all the things I lost, I miss my Community Organizer degree the most.",negative,twitter
Had a great nite  smiling all the way home.,positive,twitter
@carsonjdaly we are with tweetie they have something called twitlonger ,positive,twitter
@carlysialevert  mannnnnn ! U got midterms and shyt tomarrow and u aint studyin !,negative,twitter
"@KChenoweth hey there!!! I just love &quot;olive snook&quot; at Pushing Daisies! ^^ I'm from the Philippines, nice to meet you~ ",positive,twitter
@DJJeroenski Yesterday i played your remix of Bounson... awesome SUNday vibe ,positive,twitter
Goodnight! ,positive,twitter
@candyyyxo I know right? Wacky wacky drunken times. ,positive,twitter
found a website i just adore...but wish I could read French ,negative,twitter
"@aaronstorry But I am listening to The Lucky Nine, for it is friday - metal day ",positive,twitter
Pot roast and horchata. Not super nachos   Too poor and live to far in westmorland.,negative,twitter
Hates leaving seattle ,negative,twitter
"is the @MrAdamLambert the real one now? There's so many fake Lamberts out there, would be such great to have the real one here! ",positive,twitter
"I was honestly surprised by Alone in the Dark. It was so bad, I could hardly believe what I was seeing. There are no characters, just a few stereotypes wandering around and getting killed. The extent of the character development was giving each character a name and an occupation, and that's about it. There was no real plot, and none of the characters seemed to have any motivation. In fact, many action scenes just began on their own, coming from nowhere with a pounding techno track. While I was watching this movie I kept asking ""Where is this happening? What's going on?"" The acting was high school drama quality, with stiff wooden delivery, as though the actors were reading from cue cards without comprehending their lines. Their trouble delivering lines was made even more obvious by horrible sound design. ADR sounded like it was recorded in an open room. The actors were constantly taking obvious care to hit their marks, looking almost robotic in their movements. So, these listless automatons are whisked through a series of implausible and confusing scenarios, often without even the benefit of transition scenes. They were here, now they're there. This was happening, now that's happening. Random scenes with little rhyme or reason. I had a lot of fun watching it. Definitely not worth nine bucks though.",negative,imdb
@ToastedFrenchie Mornin lady ,positive,twitter
"@Falcon1991 The ones shown on Cartoon Network, like when I was a kid.  @SandyLovesYous My ISP hates me enough as it is man. =P",positive,twitter
@pandjcrafts ah thanks so much I hope your having a great day to ,positive,twitter
Yay! eat that roboKate! but now Jas can't serve us at Mya Lacarte ,negative,twitter
I hope she was worth it.  ,positive,twitter
Watching the Hills ,positive,twitter
@cameo1172 LOL Listen here ya little fu**er!  I think your spanx are a little too tight for your britches today!!  ,positive,twitter
@theebayk1d True. We get unlimited calls w/ Telstra for about $100US. Only comes with 150mb data though  Coverage is FULLPROOF.,negative,twitter
@Kev5890 nope went to a buddy's to watch WWE   I'll be on Wednesday night though!,positive,twitter
lower tummy is feeling uncomfortable. the internet says i am ovulating? or is it gas? i don't know ,negative,twitter
All emotional pain lasts for 12 minutes anything longer than that is self inflicte. ,positive,twitter
My dad texted my mom saing &quot;it's a full moon!&quot; My mom texts back asking &quot;oh are you keeping rj outside the house?&quot; Hahahhah ,negative,twitter
@jessholland i am so jeally ,negative,twitter
@laineylashes can princess... when ha? tonight i got dinner plans though.  but evening i can. dinner plans not until after 8. ,positive,twitter
@MaggiieJonas I'm so mad!! I had to miss it!!  atleast it's on record at home,negative,twitter
not done anything much today. We all had lunch together and the same thing for the first time -so that was nice. Next afternoon kip ,positive,twitter
@paolosavi what movie?!?!  Enjoy!!! ,positive,twitter
"@martinhiggins ah the flying dutchman  he was amazing, shame he doesn't play anymore. What's your favourite team?",positive,twitter
In the mood to do pointe work noww ,positive,twitter
@marypiii  from the net. tsk spoilers. and in the Idol twitter. I wanted Danny to be in the finals. ,negative,twitter
going to hang out with an old friend... ,positive,twitter
@Vinken thanks for the #followfriday ,positive,twitter
@ddlovato aww! im so happy cuz you are happy 8D i have to go  goodnight girll!! you are AMAZING! have a nice night! loveya?,negative,twitter
@chivalry_pony I want to read the mediator series but I don't have all of them ,negative,twitter
@Bing i loved the way your video search works. Just mouse over to the video from the results and it plays them pretty fast. its wonderful ,positive,twitter
taximde sÃ¼rtmece  yemek yemece  starbucksta dinlenmece budur benÄ±m haziran baÅlangÄ±cÄ±m..,positive,twitter
"trying 2 sleep, but can't cuz I miss HIM sooo much ",negative,twitter
@Johonoknat Which is funny since my art skill is still amateur. ,positive,twitter
@NoniMwaniki   Needed the rest...I am loving it..,positive,twitter
@foreignresident  but if you're dead who will be my awesome One Piece buddy??,negative,twitter
"rawr;; headache. I hateeee headaches. New James Bond movie, then cuddling with the boyyy ",positive,twitter
@DarrenRuane Oh and looks like there were over 20 Germans on AF447 ,negative,twitter
About to go running maybe. ,positive,twitter
cubs &amp; sox rained out ,negative,twitter
@ddlovato @mileycyrus @tracecyrus @emilyosment @therealtiffany @comeagainjen you all rock. i love you  xoxo,positive,twitter
"SlowSaturday  Thx 4 FF, follow these peeps! @twilightpoison @CullenBoysAnon @TwiExaminer  @TwiSuperfan",positive,twitter
"Hate LeBron, but go Cavs! Love you 'lonte  Shout outz to Booby, Mo, n Big Benny tambien. Oh! Y is Jay-Z growin out his hair?...RIDICULOUS!",positive,twitter
@tedoe  cool,positive,twitter
"@alisonannes just dont delete anything important, otherwise you may be calling your IT pals ",positive,twitter
"you know, i wud  love to get up, but Im waaaaay too lazy ",positive,twitter
@mysolis I have actually used that word before. Granted it was after downing a few shots ,positive,twitter
New on Etsy: Butterfly necklace 22.90$  http://bit.ly/Ofjxx,positive,twitter
"@nickybelly ope! My b I jumped the gun, that's a DQ ",negative,twitter
"@alixito Puppy windows!  Otis used to dig but once they were put in, he stopped   Now he can see all the excitement of the neighborhood!",positive,twitter
watching Ouran High School Host Club.... ,positive,twitter
Wants to go home with the seniors ,negative,twitter
@mardeck Great idea!  Hope it works ,positive,twitter
".. I guess after I get my external hard drive, I have to restore my ipod to get it to work properly. ",negative,twitter
@J_xox i hope so ,negative,twitter
mindy &amp; i are gonna lay down! macbooks dying! ,negative,twitter
Bed time  See ya all tomorrow!! Goodnight!! Xxx,positive,twitter
"@wickedlibrarian when her website was just hi! this is me &amp; the fam &amp; I write stuff, I could appreciate her. now = endless joke. alas ",positive,twitter
"Stinkin' poopy cold weather... My photo shoot cancelled.  Well, laundry and hanging with the family for me today.. a good trade ",positive,twitter
Heading to Texas Roadhouse with the whole family. Hahah. ,positive,twitter
"Going to do English Assignment over the weekend, lost the sheet ",negative,twitter
@MrPeterAndre You having fun ,positive,twitter
@summertingz no choice! office renovation.. ,negative,twitter
"@mimimassakre it was beyond amazing, seriously. they're so fucking nice! no but I talked to him several times, he's so talkative haha ",positive,twitter
@tommcfly we can't see the video  what is it?,negative,twitter
Today is Tupac's birthday. He would've been 38.  Any Tupac fans out there this morning?,negative,twitter
@buissereth ,negative,twitter
"@VinnieSays Just caught the new ad.  Fruit, nut *and* chocolate - god you know how to treat us ",positive,twitter
ouchouchouch! sore head ,negative,twitter
@bethane Thanks Much  I feel better now.,positive,twitter
@DavidArchie- I have nothing to say but I really want to say something so..... Hi!! ,positive,twitter
Goodnight my friends. ,positive,twitter
@welshcollector Careful  - that has a ring of Chitty Chitty Bang Bang about it!  ,positive,twitter
Using seesmic ,positive,twitter
"@fudgecrumpet hope it isnt too hot a summer then.hows little one today,being good i hope.lol ",positive,twitter
"Possesed much?  Gahh I went to pick up my prom suit that I hired, and it was shambolic   The jacket must have... http://tinyurl.com/mm9tbd",negative,twitter
"@shbbll Video a challenge when shot in not-so-scenic conference room with no mic, but thank you  Loved your Grant Park house &amp; DOGS!!!",positive,twitter
At victorias grad party! ,positive,twitter
@TiaMowry I reeeeeally hope BET picks the show up. I dont know what I'll do without THE GAME!   ,negative,twitter
class = done! java city to the rescue since my cupboards are empty and i have no coffee ,negative,twitter
Sooo manual labor is HARD!! I'm not a painter! Ugh... I stop getting paid in 20 minutes but I'll probably be here another 2 hours! ,negative,twitter
@ashleighk That is FUCKING AMAZING. ,positive,twitter
can't wait till september 21 house season 6  2 hour premire ,positive,twitter
Lisa_Veronica: NUMBER 1 song on Ireland itunes!!!!!!!  !!!!!! yessssssss  http://www.apple.com/ie/itunes/,positive,twitter
so wat ya all doin 2day any fun stuff    plz write 2 me,positive,twitter
may be ........... &quot;than phiá»?n&quot; = &quot;quan tÃ¢m&quot; + &quot;lo láº¯ng&quot; + ... ,positive,twitter
@hotmomamy what a nice break on a Monday to sleep til 9. I'm hanging around my son's school while he does his EOG retake. ,negative,twitter
@vimoh I do not know really. But to me all this looks like a cover up. Something big is waiting in the wings ,negative,twitter
im obsessed with star trek  this is sad.,negative,twitter
laying in bed sulking about my poor sore finger!!! ,negative,twitter
want 2 do pg3  gona strt horse riding pretty soon! x.x.x,positive,twitter
Uh oh soar throat... This isn't good ,negative,twitter
@mastergab I'll think about it. ,positive,twitter
Comenzando en twitter  YAY DARKNEEEEEESSS i mean... TWITTER! ,positive,twitter
@bernsyj yeah  but i get a new one since i had insurance! hurray!,negative,twitter
daddy day card. artist's block. ,negative,twitter
"I know this is kind of weird, but like I think my right arm muscle is bigger than my left ",negative,twitter
just moved in..hello Twitter ,positive,twitter
So not in the mood to run ,negative,twitter
"@Copy_Pixie Thanks, Alyssa - you too ",positive,twitter
@PoyntlasLove haha  im saving up for a new phone atm :L but dont think that will happen tbh :|,positive,twitter
the love of my life broke my hart ,negative,twitter
@DaveMalby so you're trying to say no? ,positive,twitter
"I feel so out of the loop sometimes  I have to write a poem tomorrow for English, wish I actually had some talent in writing :-/ night all",negative,twitter
Cant wait to finish! Only another 5 hours to go! Yippee ,positive,twitter
i assuming you got an iPhone or iPod Touch? its the best twitter app everrr! you'll never look back ,positive,twitter
was up til 3am workin on a newly styled resume = accomplished. ,positive,twitter
Just discovered that twittering under your covers is so much better than facing the cold morning. I think I'll stay in bed the whole day ,positive,twitter
http://twitpic.com/5ozbc - Best day in my entire life! PCD in Vienna. Thank you dolls ,positive,twitter
ooooemmmgeeee. My lil brother has jedi mind tricks ft. Kool g rap on his ipod. Im astonished in a great way. Back to the treadmil! ,positive,twitter
just preparing my self study ,negative,twitter
"For more info, please check my facebook latest status. Tyvm ",positive,twitter
"I really enjoyed the detail that went into the script.<br /><br />Jonathan Rhys Myers (misspelled) and Jewel were outstanding in their support roles. As was Jeffery Wright. Toby McGuire gave as fine a acting job as ever depicted, when he had to amputate his best friend's arm, knowing he would die without the procedure. <br /><br />Attention to detail, with good dialect coaching to catch the Southern accent incredibly well.<br /><br />Why this movie was swept under the rug by the Hollywood promoters I can only imagine. I have strong suspicions. Which makes it all the more appealing to me. I have given a dozen DVD copies out for presents.<br /><br />Completely overlooked movie. Rent or buy it and give it your full attention for a couple of hours, then judge.",positive,imdb
Walking kinda put a dent in my sleeping time. But I feel much better!  we made it three times around this time!! We walk around a big park,positive,twitter
@ajcady If I knew what ASP was I am sure I would be profecient ,positive,twitter
Getting ready for the new Jon &amp; Kate! Got new polarized sunglasses at my optometrist's for work this summer! Yay! Still have 20/20! ,positive,twitter
im siting in my bed so so so bored watching extreme makeover home additionits so upseting i think im going to cry  .x.x.x.x.,negative,twitter
"Season 2, second last episode of Gossip girl  Its ace.",positive,twitter
http://twitpic.com/6sl4b - the handmade Tin Man looking thing at the Toy Shop in Livermore ,positive,twitter
Got a later train today after 1/2hr more in bed. so far it's a slow ride and no wifi ,negative,twitter
@Blacklikeneon Really? Cause I heard the exact opposite. Friend said people were walking out lol. I hope it's good for you anyways ,positive,twitter
Ugh still no email back. ,negative,twitter
@jmbuckingham Is that a rhetorical question?  #FollowFriday,positive,twitter
"@Jhermin We should've bannered ourselves! and jump in the background to get your attention. too bad I didnt watch, it has guy porn daw. ",positive,twitter
@Shontelle_Layne  black.. ,positive,twitter
"@asdotnet Thanks, but it is a legal drama - so only DVR it if you're not legal drama'd out. ",positive,twitter
@GirlMeetsBeau I have the 305 and I really like it a lot. It's exactly what I need.  You can compare them on the garmin site though.,positive,twitter
"@RoothieRaWr yeh i know, but i swear i think i need new wrists  ahaa i haven't revised all of today, i'm stupid.. oh did u get my text? xD",negative,twitter
"Had a great day with the bf. Lunch, shopping at Camarillo, but skipped Hangover. He had to go back to work .. sucks .. ",negative,twitter
"@troublebrother Why are you deluded?  Keep up the dancing, it's good for you.... Well not really but it entertains the other shoppers ",positive,twitter
Work til 3:30. Should be an alright day ! ,positive,twitter
@TTSFilms yeah  but guess what? Megan and I are going back in July for like two weeks! You should come visit us  we like never talk...,negative,twitter
@zebraslovemusic My suggestion is that you wont have any time to read since we are always going to be running ,positive,twitter
stop counting stay ~ Steely Dan: HEY NINETEEN ~ forever immortal   ? http://blip.fm/~6t706,positive,twitter
@KarlaaM_ uuh i like that one!  but they have more amazing songs to play!,negative,twitter
@KylaPricky  And I adore you   And I wished I could've helped you wrastle the gators!  How can I top that?!?!?,positive,twitter
"@kleinenberg come to seattle! you were supposed to come last july, but you had visa issues, and never re-scheduled ",negative,twitter
"@gigigan nice work, glad my work is a source of inspiration ",positive,twitter
Really Boredd.... Need Some Breakfast I Think  x,positive,twitter
@rogerfedder you're not the only one in trouble good luck ,negative,twitter
@kyle_simon Randy Yoder and Donna Knott! ,positive,twitter
Gotta love Skype! Get to speak to and see my brother in Spain and my surrogate sister in Great Britain! ,positive,twitter
Follow @dontb3st9r2truc Cool chick ,positive,twitter
@taylorswift13 sounds really nice ;-) i'm hanna from germany ...would be nice if you follow me ,positive,twitter
@ImajicArt Gutted about FNM for you ,negative,twitter
who wanna bring me some pinkberrys ,positive,twitter
I just want to pass out ,negative,twitter
"@Tricon Hope you sleep well, even if it's only a 2 hour nap haha ",positive,twitter
NOOO the live E3 feed on ign broke at the beggining of the MW2 footage ,negative,twitter
"They said my bean salad was a nice picture, but I still can't see it on the site. } But there's already been an offer of mousses ",positive,twitter
You guys HAVE to go to this site!  http://tinyurl.com/cbc3r6 - UNLIMITED FREE RINGTONES!! ,positive,twitter
@VickiElam That was so nice of you...wishing you a great morning and day also.  And a fantastic week ahead.  ,positive,twitter
reading some salinger ,positive,twitter
fun-time is over  working-hours begins     ,negative,twitter
"@zenzino Nothing ever lives up to the hype because it is, well, HYPE!    I DO think it has been better than the naysayers thought.",positive,twitter
youth bbq was fun  annnd matts surpise going away telly..hella ppl. Now my sober ass is sleeping next to my high+drunk ass babt yahoo!,positive,twitter
"Expect that his day have been equal of good that mine, really happen a time of quality very beautiful in company of your family.. ",positive,twitter
@reedkins Summer school? OUCH  (Text me?),negative,twitter
@TheCaramelKing it really is crazy!! ,positive,twitter
@stephvg just post the answer to the email addy and you'll be in with a chance to win like everyone else ,positive,twitter
